City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
501,Jose De Freitas,BR,81.55,light rain,-4.7564,-42.5756,É Antônio de Souza construção
502,Fare,PF,78.42,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
505,Jining,CN,78.01,clear sky,35.405,116.5814,Yunhe Star Hotel
515,Bokoro,TD,82.38,clear sky,12.3807,17.0568,
530,Coahuayana,MX,83.68,moderate rain,18.7333,-103.6833,El rranchito michuacan de ocampos
537,Japura,ID,75.15,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
540,Puri,IN,84.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
541,Sao Gabriel Da Cachoeira,BR,75.34,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
542,Araouane,ML,86.25,broken clouds,18.9048,-3.5265,
543,Maraba,BR,75.4,light rain,-5.3686,-49.1178,Hotel Del Principe
545,Tabas,IR,75.58,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
547,Brokopondo,SR,78.37,overcast clouds,4.75,-55.1667,Matu Island
548,Khartoum,SD,82.02,clear sky,15.5518,32.5324,Hotel China
549,Iracoubo,GF,81.28,light rain,5.4802,-53.2011,Le Gîte d’Iracoubo
552,Kirakira,SB,84.79,light rain,-10.4544,161.9205,SanBiz Lodge
556,Jardim,BR,86.52,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
559,Waingapu,ID,88.43,clear sky,-9.6567,120.2641,Pondok Wisata Elim
560,Wagar,SD,85.24,clear sky,16.1525,36.2032,
564,Nauta,PE,75.6,light rain,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
565,Gaya,IN,76.91,mist,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
567,Bantou,CN,87.08,clear sky,26.2151,117.4893,
568,Nago,JP,86.07,scattered clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
569,Catarman,PH,88.75,broken clouds,12.4989,124.6377,Pink City Pension Hotel
571,Wattegama,LK,77.92,light rain,6.7989,81.4808,
576,Eyl,SO,78.04,broken clouds,7.9803,49.8164,Amiin Hotel
